Front	Back
myć zęby	brush teeth
odrabiać lekcje	do homework
kończyć szkołę	finish school
wstawać	get up
wracać do domu	go home
kłaść się spać	go to bed
iść do szkoły	go to school
zasypiać	go to sleep
brać prysznic	have a shower
jeść śniadanie	have breakfast
jeść kolację	have dinner
jeść lunch	have lunch
zaczynać lekcje	start school
czatować z przyjaciółmi	chat with friends
sprzątać swój pokój	clean my room
uprawiać sport	do sport
rysować obrazek	draw a picture
słuchać muzyki	listen to music
przygotowywać jedzenie	make food
nagrywać filmy	make videos
spotykać się z przyjaciółmi	meet up with friends
grać na instrumencie	play an instrument
grać w gry online	play online games
czytać książki	read books
wysyłać wiadomości	send messages
oglądać filmy/telewizję	watch films/TV
kawiarnia	café
kino	cinema
biblioteka	library
przychodnia	medical centre
park	park
restauracja	restaurant
centrum handlowe	shopping centre
centrum sportowe	sports centre
supermarket	supermarket
basen	swimming pool
dworzec kolejowy	train station
