Front	Back	Audio
myć zęby	brush teeth	[sound:brush_teeth.mp3]
odrabiać lekcje	do homework	[sound:do_homework.mp3]
kończyć szkołę	finish school	[sound:finish_school.mp3]
wstawać	get up	[sound:get_up.mp3]
wracać do domu	go home	[sound:go_home.mp3]
kłaść się spać	go to bed	[sound:go_to_bed.mp3]
iść do szkoły	go to school	[sound:go_to_school.mp3]
zasypiać	go to sleep	[sound:go_to_sleep.mp3]
brać prysznic	have a shower	[sound:have_a_shower.mp3]
jeść śniadanie	have breakfast	[sound:have_breakfast.mp3]
jeść kolację	have dinner	[sound:have_dinner.mp3]
jeść lunch	have lunch	[sound:have_lunch.mp3]
zaczynać lekcje	start school	[sound:start_school.mp3]
czatować z przyjaciółmi	chat with friends	[sound:chat_with_friends.mp3]
sprzątać swój pokój	clean my room	[sound:clean_my_room.mp3]
uprawiać sport	do sport	[sound:do_sport.mp3]
rysować obrazek	draw a picture	[sound:draw_a_picture.mp3]
słuchać muzyki	listen to music	[sound:listen_to_music.mp3]
przygotowywać jedzenie	make food	[sound:make_food.mp3]
nagrywać filmy	make videos	[sound:make_videos.mp3]
spotykać się z przyjaciółmi	meet up with friends	[sound:meet_up_with_friends.mp3]
grać na instrumencie	play an instrument	[sound:play_an_instrument.mp3]
grać w gry online	play online games	[sound:play_online_games.mp3]
czytać książki	read books	[sound:read_books.mp3]
wysyłać wiadomości	send messages	[sound:send_messages.mp3]
oglądać filmy/telewizję	watch films/TV	[sound:watch_films_tv.mp3]
kawiarnia	café	[sound:caf.mp3]
kino	cinema	[sound:cinema.mp3]
biblioteka	library	[sound:library.mp3]
przychodnia	medical centre	[sound:medical_centre.mp3]
park	park	[sound:park.mp3]
restauracja	restaurant	[sound:restaurant.mp3]
centrum handlowe	shopping centre	[sound:shopping_centre.mp3]
centrum sportowe	sports centre	[sound:sports_centre.mp3]
supermarket	supermarket	[sound:supermarket.mp3]
basen	swimming pool	[sound:swimming_pool.mp3]
dworzec kolejowy	train station	[sound:train_station.mp3]
